Place_Id,Place_Ratings,Place_Name,Category,City,Price,Rating
179,3,Candi Ratu Boko,Budaya,Yogyakarta,75000,4.6
344,2,Pantai Marina,Bahari,Semarang,3000,4.1
5,5,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,4.5
373,3,Museum Kereta Ambarawa,Budaya,Semarang,10000,4.5
101,4,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,0,4.0
312,2,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5
258,5,Museum Gedung Sate,Budaya,Bandung,5000,4.6
20,4,Museum Taman Prasasti,Budaya,Jakarta,2000,4.5
154,2,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,10000,4.5
393,5,Taman Harmoni Keputih,Cagar Alam,Surabaya,0,4.4
103,3,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,0,4.7
208,5,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6
89,3,De Mata Museum Jogja,Budaya,Yogyakarta,50000,4.4
405,5,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4
41,5,Museum Bahari Jakarta,Budaya,Jakarta,2000,4.4
336,4,Grand Maerakaca,Taman Hiburan,Semarang,15000,4.4
67,4,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2
292,3,Curug Anom,Cagar Alam,Bandung,0,4.6
222,3,Museum Konferensi Asia Afrika,Budaya,Bandung,0,4.6
76,2,Taman Cattleya,Taman Hiburan,Jakarta,20000,4.5
428,3,Monumen Bambu Runcing Surabaya,Budaya,Surabaya,0,4.6
15,3,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4
246,4,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,10000,4.4
265,5,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,0,4.4
21,2,Museum Wayang,Budaya,Jakarta,5000,4.5
328,2,Gua Pawon,Cagar Alam,Bandung,10000,4.5
307,4,Perkebunan Teh Malabar,Cagar Alam,Bandung,5000,4.4
302,2,Masjid Pusdai,Tempat Ibadah,Bandung,0,4.7
48,2,Taman Ismail Marzuki,Budaya,Jakarta,5000,4.6
328,2,Gua Pawon,Cagar Alam,Bandung,10000,4.5
147,2,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,0,4.5
2,5,Kota Tua,Budaya,Jakarta,0,4.6
322,4,Bukit Jamur,Cagar Alam,Bandung,0,4.2
23,3,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8
85,4,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,6000,4.5
371,3,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3
78,5,Hutan Kota Srengseng,Taman Hiburan,Jakarta,1000,4.3
111,2,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,3000,4.5
107,2,Bangsal Pagelaran,Budaya,Yogyakarta,5000,4.6
185,2,Pantai Krakal,Bahari,Yogyakarta,10000,4.5
413,3,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5
389,2,Brown Canyon,Cagar Alam,Semarang,0,4.2
437,5,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8
105,2,Candi Donotirto,Budaya,Yogyakarta,0,4.4
176,3,Museum Gunung Merapi,Budaya,Yogyakarta,10000,4.4
407,5,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,0,4.5
208,5,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6
437,4,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8
208,3,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6
281,2,Tektona Waterpark,Taman Hiburan,Bandung,60000,3.8
167,2,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,4.5
384,5,Kampung Tematik Jawi,Budaya,Semarang,0,4.5
426,4,Balai Kota Surabaya,Budaya,Surabaya,0,4.7
390,2,Durian Gardens and Tourism Education Watu Simbar,Cagar Alam,Semarang,5000,4.1
367,2,Wisata Lereng Kelir,Cagar Alam,Semarang,7000,4.3
166,2,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,4.5
18,5,Museum Bank Indonesia,Budaya,Jakarta,2000,4.7
321,3,Glamping Lakeside Rancabali,Taman Hiburan,Bandung,30000,4.4
262,3,Wot Batu,Cagar Alam,Bandung,50000,4.7
223,5,Masjid Raya Bandung,Tempat Ibadah,Bandung,0,4.7
17,5,Museum Fatahillah,Budaya,Jakarta,5000,4.4
319,5,Kawah Rengganis Cibuni,Cagar Alam,Bandung,5000,4.3
310,3,Taman Bunga Cihideung,Cagar Alam,Bandung,0,4.1
421,3,Museum Kesehatan Dr. Adhyatma,Budaya,Surabaya,10000,4.4
202,5,Pantai Ngandong,Bahari,Yogyakarta,10000,4.5
48,2,Taman Ismail Marzuki,Budaya,Jakarta,5000,4.6
283,3,Jembatan Pasupati,Taman Hiburan,Bandung,0,4.6
202,3,Pantai Ngandong,Bahari,Yogyakarta,10000,4.5
250,2,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,50000,4.1
118,2,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,5000,4.6
54,2,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,4.2
70,3,Perpustakaan Nasional,Budaya,Jakarta,0,4.7
33,4,Taman Suropati,Taman Hiburan,Jakarta,0,4.6
227,2,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,0,4.6
86,4,Keraton Yogyakarta,Budaya,Yogyakarta,15000,4.6
105,5,Candi Donotirto,Budaya,Yogyakarta,0,4.4
249,3,Upside Down World Bandung,Taman Hiburan,Bandung,100000,4.0
131,4,Watu Lumbung,Cagar Alam,Yogyakarta,5000,4.3
382,2,Kampoeng Kopi Banaran,Taman Hiburan,Semarang,200000,4.3
193,2,Candi Sewu,Budaya,Yogyakarta,50000,4.6
176,2,Museum Gunung Merapi,Budaya,Yogyakarta,10000,4.4
104,3,Tebing Breksi,Budaya,Yogyakarta,20000,4.4
24,4,Museum Nasional,Budaya,Jakarta,5000,4.6
128,5,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,4.5
134,3,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,4.4
228,3,Museum Sri Baduga,Budaya,Bandung,3000,4.5
237,3,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3
100,4,Taman Budaya Yogyakarta,Budaya,Yogyakarta,0,4.5
198,5,Pantai Greweng,Bahari,Yogyakarta,5000,4.6
50,2,Museum Joang 45,Budaya,Jakarta,2000,4.0
376,2,Semarang Chinatown,Budaya,Semarang,30000,4.5
268,4,Sudut Pandang Bandung,Taman Hiburan,Bandung,50000,4.6
242,4,Curug Dago,Cagar Alam,Bandung,12000,4.0
82,3,Museum Satria Mandala,Budaya,Jakarta,5000,4.5
348,5,Pura Giri Natha,Budaya,Semarang,20000,4.7
409,3,Rumah Batik,Budaya,Surabaya,0,4.5
88,3,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,3000,4.6
4,4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,10000,4.5
377,3,La Kana Chapel,Taman Hiburan,Semarang,35000,4.5
43,5,The Escape Hunt,Taman Hiburan,Jakarta,70000,4.4
15,4,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4
91,3,Situs Warungboto,Taman Hiburan,Yogyakarta,0,4.4
193,5,Candi Sewu,Budaya,Yogyakarta,50000,4.6
312,3,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5
44,2,Monumen Selamat Datang,Budaya,Jakarta,0,4.7
14,5,Pulau Pelangi,Bahari,Jakarta,900000,4.8
406,3,Kebun Bibit Wonorejo,Cagar Alam,Surabaya,0,4.4
383,2,Taman Tabanas,Taman Hiburan,Semarang,0,4.4
229,2,Rabbit Town,Taman Hiburan,Bandung,45000,4.0
290,3,Museum Pendidikan Nasional,Budaya,Bandung,5000,4.6
5,5,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,4.5
294,5,Taman Film,Budaya,Bandung,0,4.3
309,5,Observatorium Bosscha,Cagar Alam,Bandung,25000,4.5
74,2,Museum Tengah Kebun,Budaya,Jakarta,0,4.6
